,date,hour,visitor,visitor_id,visitor_score,home,home_id,home_score,box_score_link,OT,att
1021,"Fri, Mar 18, 2016",7:30p,Boston Celtics,/teams/BOS/2016.html,91,Toronto Raptors,/teams/TOR/2016.html,105,/boxscores/201603180TOR.html,,"19,800"
1022,"Fri, Mar 18, 2016",8:00p,Minnesota Timberwolves,/teams/MIN/2016.html,111,Houston Rockets,/teams/HOU/2016.html,116,/boxscores/201603180HOU.html,,"18,142"
1023,"Fri, Mar 18, 2016",8:00p,Portland Trail Blazers,/teams/POR/2016.html,117,New Orleans Pelicans,/teams/NOP/2016.html,112,/boxscores/201603180NOP.html,,"17,263"
1024,"Fri, Mar 18, 2016",8:30p,Golden State Warriors,/teams/GSW/2016.html,130,Dallas Mavericks,/teams/DAL/2016.html,112,/boxscores/201603180DAL.html,,"20,515"
1025,"Fri, Mar 18, 2016",10:30p,Phoenix Suns,/teams/PHO/2016.html,95,Los Angeles Lakers,/teams/LAL/2016.html,90,/boxscores/201603180LAL.html,,"18,997"
1026,"Sat, Mar 19, 2016",6:00p,Denver Nuggets,/teams/DEN/2016.html,101,Charlotte Hornets,/teams/CHO/2016.html,93,/boxscores/201603190CHO.html,,"19,271"
1027,"Sat, Mar 19, 2016",7:00p,Brooklyn Nets,/teams/BRK/2016.html,103,Detroit Pistons,/teams/DET/2016.html,115,/boxscores/201603190DET.html,,"17,559"
1028,"Sat, Mar 19, 2016",7:00p,Oklahoma City Thunder,/teams/OKC/2016.html,115,Indiana Pacers,/teams/IND/2016.html,111,/boxscores/201603190IND.html,,"18,165"
1029,"Sat, Mar 19, 2016",7:00p,New York Knicks,/teams/NYK/2016.html,89,Washington Wizards,/teams/WAS/2016.html,99,/boxscores/201603190WAS.html,,"20,356"
1030,"Sat, Mar 19, 2016",7:30p,Houston Rockets,/teams/HOU/2016.html,97,Atlanta Hawks,/teams/ATL/2016.html,109,/boxscores/201603190ATL.html,,"18,067"
1031,"Sat, Mar 19, 2016",7:30p,Cleveland Cavaliers,/teams/CLE/2016.html,101,Miami Heat,/teams/MIA/2016.html,122,/boxscores/201603190MIA.html,,"19,737"
1032,"Sat, Mar 19, 2016",8:00p,Utah Jazz,/teams/UTA/2016.html,85,Chicago Bulls,/teams/CHI/2016.html,92,/boxscores/201603190CHI.html,,"21,856"
1033,"Sat, Mar 19, 2016",8:00p,Los Angeles Clippers,/teams/LAC/2016.html,102,Memphis Grizzlies,/teams/MEM/2016.html,113,/boxscores/201603190MEM.html,,"18,119"
1034,"Sat, Mar 19, 2016",8:30p,Golden State Warriors,/teams/GSW/2016.html,79,San Antonio Spurs,/teams/SAS/2016.html,87,/boxscores/201603190SAS.html,,"18,825"
1035,"Sun, Mar 20, 2016",4:00p,Portland Trail Blazers,/teams/POR/2016.html,120,Dallas Mavericks,/teams/DAL/2016.html,132,/boxscores/201603200DAL.html,OT,"20,351"
1036,"Sun, Mar 20, 2016",4:30p,Orlando Magic,/teams/ORL/2016.html,100,Toronto Raptors,/teams/TOR/2016.html,105,/boxscores/201603200TOR.html,,"19,800"
1037,"Sun, Mar 20, 2016",6:00p,Los Angeles Clippers,/teams/LAC/2016.html,105,New Orleans Pelicans,/teams/NOP/2016.html,109,/boxscores/201603200NOP.html,,"17,407"
1038,"Sun, Mar 20, 2016",6:00p,Boston Celtics,/teams/BOS/2016.html,120,Philadelphia 76ers,/teams/PHI/2016.html,105,/boxscores/201603200PHI.html,,"15,103"
1039,"Sun, Mar 20, 2016",7:00p,Utah Jazz,/teams/UTA/2016.html,94,Milwaukee Bucks,/teams/MIL/2016.html,85,/boxscores/201603200MIL.html,,"14,124"
1040,"Sun, Mar 20, 2016",7:30p,Sacramento Kings,/teams/SAC/2016.html,88,New York Knicks,/teams/NYK/2016.html,80,/boxscores/201603200NYK.html,,"19,812"
1041,"Mon, Mar 21, 2016",7:00p,San Antonio Spurs,/teams/SAS/2016.html,88,Charlotte Hornets,/teams/CHO/2016.html,91,/boxscores/201603210CHO.html,,"18,260"
1042,"Mon, Mar 21, 2016",7:00p,Denver Nuggets,/teams/DEN/2016.html,91,Cleveland Cavaliers,/teams/CLE/2016.html,124,/boxscores/201603210CLE.html,,"20,562"
1043,"Mon, Mar 21, 2016",7:00p,Philadelphia 76ers,/teams/PHI/2016.html,75,Indiana Pacers,/teams/IND/2016.html,91,/boxscores/201603210IND.html,,"16,155"
1044,"Mon, Mar 21, 2016",7:30p,Orlando Magic,/teams/ORL/2016.html,96,Boston Celtics,/teams/BOS/2016.html,107,/boxscores/201603210BOS.html,,"18,624"
1045,"Mon, Mar 21, 2016",7:30p,Milwaukee Bucks,/teams/MIL/2016.html,91,Detroit Pistons,/teams/DET/2016.html,92,/boxscores/201603210DET.html,,"13,577"
1046,"Mon, Mar 21, 2016",8:00p,Washington Wizards,/teams/WAS/2016.html,117,Atlanta Hawks,/teams/ATL/2016.html,102,/boxscores/201603210ATL.html,,"15,729"
1047,"Mon, Mar 21, 2016",8:00p,Sacramento Kings,/teams/SAC/2016.html,102,Chicago Bulls,/teams/CHI/2016.html,109,/boxscores/201603210CHI.html,,"21,531"
1048,"Mon, Mar 21, 2016",8:00p,Golden State Warriors,/teams/GSW/2016.html,109,Minnesota Timberwolves,/teams/MIN/2016.html,104,/boxscores/201603210MIN.html,,"19,452"
1049,"Mon, Mar 21, 2016",10:00p,Memphis Grizzlies,/teams/MEM/2016.html,103,Phoenix Suns,/teams/PHO/2016.html,97,/boxscores/201603210PHO.html,,"15,868"
1050,"Tue, Mar 22, 2016",7:30p,Charlotte Hornets,/teams/CHO/2016.html,105,Brooklyn Nets,/teams/BRK/2016.html,100,/boxscores/201603220BRK.html,,"15,739"
1051,"Tue, Mar 22, 2016",8:00p,Miami Heat,/teams/MIA/2016.html,113,New Orleans Pelicans,/teams/NOP/2016.html,99,/boxscores/201603220NOP.html,,"16,867"
1052,"Tue, Mar 22, 2016",8:00p,Houston Rockets,/teams/HOU/2016.html,107,Oklahoma City Thunder,/teams/OKC/2016.html,111,/boxscores/201603220OKC.html,,"18,203"
1053,"Tue, Mar 22, 2016",10:30p,Memphis Grizzlies,/teams/MEM/2016.html,100,Los Angeles Lakers,/teams/LAL/2016.html,107,/boxscores/201603220LAL.html,,"18,997"
1054,"Wed, Mar 23, 2016",7:00p,Milwaukee Bucks,/teams/MIL/2016.html,104,Cleveland Cavaliers,/teams/CLE/2016.html,113,/boxscores/201603230CLE.html,,"20,562"
1055,"Wed, Mar 23, 2016",7:00p,Atlanta Hawks,/teams/ATL/2016.html,122,Washington Wizards,/teams/WAS/2016.html,101,/boxscores/201603230WAS.html,,"18,807"
1056,"Wed, Mar 23, 2016",7:30p,Toronto Raptors,/teams/TOR/2016.html,79,Boston Celtics,/teams/BOS/2016.html,91,/boxscores/201603230BOS.html,,"18,624"
1057,"Wed, Mar 23, 2016",7:30p,Orlando Magic,/teams/ORL/2016.html,102,Detroit Pistons,/teams/DET/2016.html,118,/boxscores/201603230DET.html,,"16,609"
1058,"Wed, Mar 23, 2016",8:00p,New York Knicks,/teams/NYK/2016.html,115,Chicago Bulls,/teams/CHI/2016.html,107,/boxscores/201603230CHI.html,,"21,788"
1059,"Wed, Mar 23, 2016",8:00p,Utah Jazz,/teams/UTA/2016.html,89,Houston Rockets,/teams/HOU/2016.html,87,/boxscores/201603230HOU.html,,"18,151"
1060,"Wed, Mar 23, 2016",8:00p,Sacramento Kings,/teams/SAC/2016.html,104,Minnesota Timberwolves,/teams/MIN/2016.html,113,/boxscores/201603230MIN.html,,"12,151"
1061,"Wed, Mar 23, 2016",8:30p,Miami Heat,/teams/MIA/2016.html,88,San Antonio Spurs,/teams/SAS/2016.html,112,/boxscores/201603230SAS.html,,"18,418"
1062,"Wed, Mar 23, 2016",9:00p,Philadelphia 76ers,/teams/PHI/2016.html,103,Denver Nuggets,/teams/DEN/2016.html,104,/boxscores/201603230DEN.html,,"10,684"
1063,"Wed, Mar 23, 2016",10:00p,Los Angeles Lakers,/teams/LAL/2016.html,107,Phoenix Suns,/teams/PHO/2016.html,119,/boxscores/201603230PHO.html,,"18,191"
1064,"Wed, Mar 23, 2016",10:00p,Dallas Mavericks,/teams/DAL/2016.html,103,Portland Trail Blazers,/teams/POR/2016.html,109,/boxscores/201603230POR.html,,"19,819"
1065,"Wed, Mar 23, 2016",10:30p,Los Angeles Clippers,/teams/LAC/2016.html,98,Golden State Warriors,/teams/GSW/2016.html,114,/boxscores/201603230GSW.html,,"19,596"
1066,"Thu, Mar 24, 2016",7:00p,New Orleans Pelicans,/teams/NOP/2016.html,84,Indiana Pacers,/teams/IND/2016.html,92,/boxscores/201603240IND.html,,"17,517"
1067,"Thu, Mar 24, 2016",7:30p,Cleveland Cavaliers,/teams/CLE/2016.html,95,Brooklyn Nets,/teams/BRK/2016.html,104,/boxscores/201603240BRK.html,,"17,732"
1068,"Thu, Mar 24, 2016",7:30p,Chicago Bulls,/teams/CHI/2016.html,94,New York Knicks,/teams/NYK/2016.html,106,/boxscores/201603240NYK.html,,"19,812"
1069,"Thu, Mar 24, 2016",8:00p,Utah Jazz,/teams/UTA/2016.html,91,Oklahoma City Thunder,/teams/OKC/2016.html,113,/boxscores/201603240OKC.html,,"18,203"
1070,"Thu, Mar 24, 2016",10:30p,Portland Trail Blazers,/teams/POR/2016.html,94,Los Angeles Clippers,/teams/LAC/2016.html,96,/boxscores/201603240LAC.html,,"19,359"
1071,"Fri, Mar 25, 2016",7:00p,Minnesota Timberwolves,/teams/MIN/2016.html,132,Washington Wizards,/teams/WAS/2016.html,129,/boxscores/201603250WAS.html,2OT,"20,356"
1072,"Fri, Mar 25, 2016",7:30p,Charlotte Hornets,/teams/CHO/2016.html,105,Detroit Pistons,/teams/DET/2016.html,112,/boxscores/201603250DET.html,,"17,209"
